EPN2,HPA049809;HPA053360;
TFRC,CAB000153;HPA028598;
UBE2D1,HPA003920;
MPP5,HPA000993;HPA063890;
RHOBTB1,HPA040205;HPA040226;
SMC1A,HPA005499;CAB025404;
HMMR,CAB002433;HPA040025;HPA043926;HPA061524;
P4HA2,HPA016997;HPA027824;CAB062557;
NFATC3,HPA050665;
TRNT1,HPA036938;
EVC,HPA008703;HPA016046;
DERL2,CAB037287;HPA048957;HPA056551;
TMEM38A,HPA048100;HPA050463;
PVR,HPA012568;HPA064739;
XRCC1,CAB005427;HPA006717;
ALPK1,HPA027435;HPA027443;
LLGL2,HPA022913;
PDE8A,HPA007722;
NLE1,HPA018807;
SDHA,CAB034929;HPA041981;HPA064582;
SMARCE1,HPA003916;CAB037318;
ABCB11,HPA019035;
IGF2BP2,CAB017126;HPA035145;
MAP3K13,HPA016497;HPA036691;HPA036692;
PICALM,HPA019053;HPA019061;
MRPS34,HPA042112;
NOTCH3,CAB005393;HPA044392;
CLNS1A,CAB017840;HPA031707;HPA031708;HPA032045;
EED,CAB012211;HPA060089;HPA061140;
TSG101,CAB004283;HPA006161;
NCBP3,HPA008959;HPA013195;
MGLL,HPA011348;HPA011993;HPA011994;
DPP8,HPA008706;
SLC24A1,HPA039370;
ZNF532,HPA015322;
LMAN1,HPA002320;CAB037163;
ZZEF1,HPA031778;HPA031790;
KCNQ2,HPA016642;HPA057112;
ACTR6,HPA038587;HPA038588;
SRI,HPA019004;HPA073666;
EIF4G3,HPA025031;HPA025039;HPA025041;
NUP37,HPA056300;HPA073708;
SEMA3A,HPA029447;HPA052235;
SEMA3C,HPA042418;
TTC38,HPA029302;HPA075893;
CELSR1,HPA052976;HPA060521;
ZNF638,HPA036784;HPA057395;
ADD2,CAB009796;HPA034509;HPA034510;
RASAL2,HPA018805;HPA020453;
ZNF37A,HPA003172;
FNDC3B,HPA007859;
FOSL2,HPA004817;CAB013460;HPA061417;
FRYL,HPA031106;HPA031107;
TMEM131,HPA017678;HPA017682;
FSCN1,CAB000121;HPA005723;CAB035991;HPA050654;
DLG1,CAB016307;HPA069593;
BCAP29,HPA029215;HPA049694;
ARHGAP15,HPA032125;
TUBA3D,CAB004972;HPA039247;HPA043684;HPA063394;
EXOSC7,HPA036182;HPA057980;
REXO2,HPA038450;HPA038451;
RBM7,HPA013993;HPA048003;
BAZ2A,HPA005782;HPA063806;
MLH1,CAB013294;HPA052707;HPA060714;CAB070868;
UNG,CAB011605;
KLHL20,HPA025034;HPA053704;
ANKRD13A,HPA039488;HPA043218;
TPD52,HPA028427;HPA062167;
GPATCH1,HPA043430;HPA043604;
ICAM3,CAB002498;HPA049820;
MCAM,CAB002147;HPA008848;
MBNL3,HPA001584;
RAP1GAP,HPA001922;CAB003851;
ARHGEF1,CAB009502;HPA012924;HPA060784;
RARB,CAB002617;HPA004174;
TOP2B,CAB004601;HPA024120;HPA050441;
TM9SF3,HPA039609;
NFKB2,HPA008422;CAB022098;HPA023900;
UBE2T,HPA002831;
PPP1R12B,HPA024171;HPA024640;
GTF3C1,HPA051617;HPA075900;
SNRPA,CAB004652;HPA046440;HPA054834;
EXOSC5,HPA053150;HPA055677;
LRCH4,HPA037667;HPA037668;
POLD3,HPA058846;
ACTN2,HPA006035;HPA008315;
CAPZB,HPA031531;
NAALAD2,HPA060820;HPA065419;
JADE1,HPA020016;
SMC1B,HPA001500;
AMPH,CAB008559;HPA019828;HPA019829;
MCCC1,HPA008310;
N4BP2,HPA036770;HPA042607;HPA072549;
TULP3,HPA015285;HPA018496;
SYNJ2,HPA031575;
PPP2R5C,HPA027553;
RBFOX1,HPA040809;HPA066746;HPA075862;
GNB1,HPA040736;
HOXA9,HPA061982;HPA076200;
EDN1,HPA031976;CAB032500;CAB037291;
ZCWPW1,HPA020911;
NRDC,HPA053661;
VDAC3,HPA026864;
PCM1,HPA023370;HPA023374;CAB058695;
TNRC6C,HPA022007;HPA062051;
BRINP1,HPA038828;
PKD2L2,HPA041903;HPA043634;
SDF4,HPA011249;HPA011895;CAB015227;
BPIFB2,HPA049491;HPA060121;
TP73,CAB002514;CAB003022;HPA027314;HPA044516;
TOLLIP,HPA038621;HPA038622;
UBE2D4,HPA003920;
THOC1,HPA019096;HPA019687;
OSBPL6,HPA032131;
SLC1A3,CAB002573;HPA037467;HPA037468;
XRCC5,CAB004468;HPA025813;HPA064685;
TNS1,CAB018774;HPA036089;HPA036090;
SAR1A,HPA006923;CAB022545;HPA048368;
RAPGEF3,CAB004386;HPA040365;HPA043518;
SENP1,HPA011765;HPA046491;
CIC,CAB026388;HPA044341;HPA064725;
FDFT1,HPA008874;
PAFAH1B3,HPA035639;
OPHN1,HPA002919;
KIF22,HPA048213;HPA075670;
SCGN,CAB004005;HPA006641;CAB044060;CAB062563;CAB068232;
CARMIL1,HPA029038;HPA029039;
DDX1,CAB012280;HPA034502;HPA034503;
DNM2,HPA054246;
EPB41L2,HPA005730;HPA006642;
RABL2B,HPA042642;HPA042700;HPA044007;
KEAP1,HPA005558;CAB025337;
PTPRH,HPA042300;
EPHA6,HPA007397;HPA058047;
RFX3,HPA035689;
PUM3,HPA002353;
CPOX,HPA015736;HPA054448;
CLDND1,HPA029841;
MOK,HPA027292;
HSP90AA1,CAB002058;
RBL1,HPA054962;HPA056525;
RSBN1,HPA042124;HPA049484;
OSTM1,HPA010851;
PCNP,HPA035011;HPA063861;
EXD2,HPA002906;HPA005848;
ARG2,HPA000663;CAB009435;
MEF2C,HPA005533;CAB068196;CAB068197;
PTPRC,CAB000052;HPA000440;CAB002800;CAB056154;CAB068221;
PKP1,HPA027221;CAB033130;
UBA5,HPA017235;
STK17B,HPA034858;
LRP2,HPA005980;HPA064792;
JMJD4,HPA027260;HPA052861;
AACS,HPA058815;
KIAA0141,HPA036548;HPA061490;
PCDHB4,HPA014466;
HSPB11,HPA030140;
SMARCD3,HPA063955;HPA065517;
WDR70,HPA043064;HPA048149;
BZW1,HPA047288;HPA053272;
ME2,HPA008247;HPA008880;
C5orf22,HPA043062;
CCNT2,HPA005559;
FAM135A,HPA031743;HPA031744;
SERTAD4,HPA027344;HPA028514;
TRAF5,HPA008052;CAB010277;
MRPL22,HPA047063;
GEMIN5,HPA037392;HPA037393;
GSK3B,CAB016263;HPA028017;
ERC1,HPA019513;HPA019523;HPA024130;
XPO1,CAB010184;HPA042933;
PALB2,CAB014895;HPA057000;
LYRM2,HPA063932;
KAT6A,CAB017023;HPA063266;HPA065052;
TNPO1,CAB016325;
PLOD1,HPA049137;HPA055799;
P2RX5,HPA021948;HPA067827;
DIS3,HPA039281;HPA058762;
PIBF1,HPA052269;HPA066120;
NUFIP1,HPA029958;HPA029959;
PDS5B,HPA039513;HPA040015;
RRAGB,HPA003734;
ZNF324,HPA039774;
ZNF446,HPA052786;HPA078262;
YTHDC1,HPA036462;
CHMP2B,HPA035069;HPA052754;
NOA1,HPA035838;HPA035839;
SSH1,HPA019845;
GSTP1,HPA019779;HPA019869;
APLP2,HPA039319;
FAM234B,HPA010803;HPA010850;
COL16A1,HPA027237;
TXLNA,HPA045383;HPA072477;
KIF3C,HPA035755;
HADHA,HPA015536;HPA056070;
CAD,CAB007781;HPA057266;HPA069341;
CD82,CAB002508;HPA028900;HPA061418;
MYNN,HPA045149;
SCAMP1,HPA044753;CAB079009;
PREP,CAB025414;HPA031388;HPA031389;HPA031390;
WDR47,HPA027287;HPA027289;
ABCB1,CAB001716;HPA002199;HPA074614;
ZNF213,HPA035000;HPA056750;
CPNE3,HPA029552;
MTIF2,HPA006021;HPA061422;
DDHD2,CAB015202;HPA023143;HPA023147;
TTC39A,HPA028098;HPA043440;
EPS15,HPA008451;CAB010164;HPA061431;
ATG16L1,HPA012577;HPA063900;
RAD54L,HPA028954;HPA051537;
MAST2,HPA039722;HPA040155;
DNAJA1,HPA001306;CAB033665;
NFX1,HPA056310;HPA061382;HPA073519;
EIF2AK1,HPA016496;CAB022082;HPA061675;
SNX10,HPA015605;HPA064782;
SEPHS1,HPA037645;HPA062118;
MRPL28,HPA030594;CAB033542;HPA055589;
RBM22,HPA001634;
TMED2,HPA014060;
ZFAND6,HPA034845;HPA052746;HPA077824;
TXLNG,HPA000297;HPA000841;
PPEF1,HPA034577;
PPP1R15A,CAB018395;HPA020240;
TRIP6,CAB046454;CAB046460;HPA052813;
FTL,CAB020769;HPA041602;
SRRT,HPA042858;HPA058379;
NLK,HPA018192;HPA056511;
ATXN7L3,HPA064316;
PSMC5,HPA017871;HPA064293;
MMP2,HPA001939;CAB002788;
SH3BP2,HPA036790;
NOP14,HPA039596;HPA055652;
TXNDC16,HPA002543;
RTRAF,HPA039824;
SF3B2,HPA045028;
GNAS,CAB010337;HPA018122;HPA027478;HPA028386;
DNM1L,CAB009952;HPA039324;
PTHLH,HPA035982;
PHACTR3,HPA051834;HPA054847;
TFAP2C,CAB016061;CAB016079;HPA055179;HPA057076;
AURKA,CAB001454;HPA002636;
PIR,HPA000697;
AAMDC,HPA037918;HPA037919;
ALG6,HPA062536;HPA076130;
CNOT3,HPA006408;
PTPN4,HPA019351;
KHSRP,HPA034739;HPA056518;
PDRG1,HPA047084;HPA063542;
SLC15A1,HPA002827;
TGDS,HPA039927;HPA040857;
DOCK3,HPA037543;HPA037544;
C3orf18,HPA012105;
ARHGAP28,HPA030413;HPA030414;HPA030415;
PPP1R13B,HPA006394;CAB015454;
ATRN,HPA008853;
NSFL1C,HPA047108;HPA050628;
SLC4A11,HPA018120;HPA058377;
ZNF343,HPA030587;HPA052438;
MAVS,CAB009187;HPA049850;HPA053524;
LZTS3,HPA031008;HPA031009;
XRN2,HPA047118;HPA050485;
TESC,HPA053200;
RPL6,HPA060903;HPA068418;
MAPKAPK5,CAB004546;HPA015515;
ESF1,HPA047083;HPA050396;
ANAPC5,HPA039457;HPA039801;
SLC23A2,HPA052825;HPA059314;
TASP1,HPA030824;HPA030825;
OAS1,HPA003657;CAB021104;
GCN1,HPA018799;HPA019648;HPA024367;
RPLP0,HPA003512;HPA073501;
PXN,CAB003841;HPA051309;
KIF16B,HPA051198;
TRMT6,HPA047032;HPA050408;
CHGB,HPA008759;CAB009403;HPA012602;
PEBP1,HPA008819;CAB009906;CAB013493;HPA063904;
BRAP,HPA040357;HPA058820;
ERP29,HPA039363;HPA039456;
FUS,HPA008784;CAB033036;CAB058691;
IGBP1,HPA000634;HPA001004;CAB034139;
FXYD5,HPA010817;
ZNF302,HPA059503;
GRAMD1A,HPA008852;HPA012570;
CDIP1,HPA049352;
CMTM1,HPA013801;HPA017136;
GANAB,HPA026874;HPA061426;
BIRC5,HPA002830;CAB004270;
MLF2,HPA010811;HPA010859;
