TSPAN6,HPA004109;
AKR7A2,CAB032587;CAB032841;HPA064638;
MRTO4,HPA026446;
USE1,HPA026851;HPA047562;
MCF2L2,HPA038946;HPA038947;
NRIP2,HPA039197;HPA039860;
LAMA3,HPA009309;CAB010757;
AP5M1,HPA055768;HPA057098;
ANAPC4,CAB032519;HPA038395;HPA038396;
KCNQ1,CAB018656;HPA048553;
TRAPPC3,HPA028408;
PHPT1,CAB013584;HPA020952;
ENTPD2,HPA017676;
LY75,CAB001450;HPA049108;HPA054073;
ARID4B,HPA027205;HPA027333;
OPN3,CAB013682;HPA064443;
SDCCAG8,HPA025737;HPA044477;HPA072495;
HHAT,HPA016462;
TBC1D22A,HPA001173;
SYNE2,HPA003435;HPA050204;
PLEKHH1,HPA047707;HPA051964;
ATP9A,CAB020699;HPA035630;
CHRDL2,HPA021771;HPA076522;
GALC,CAB022196;
NOP58,HPA018472;HPA021062;
SZRD1,HPA024221;
CUL1,CAB002676;HPA064584;
FAM114A2,HPA035869;HPA035870;
CYFIP2,CAB055519;HPA068106;HPA071459;
GINM1,HPA017210;HPA041679;
EIF2AK2,CAB003845;HPA019795;HPA063893;
USP36,HPA012082;HPA012395;HPA052860;
MCOLN3,HPA018106;HPA062137;
CCDC85A,HPA043106;HPA057020;
PUM2,HPA030316;HPA049670;
ITIH4,HPA001835;HPA003948;CAB072872;
ITIH1,HPA041639;HPA042049;
HPF1,HPA043467;
ZFR,HPA016666;
ZNF280C,HPA051494;HPA055788;
TRAF1,HPA001852;CAB009593;
RC3H2,HPA042863;HPA062144;
IL17RB,HPA002837;HPA005482;
TRAF3IP2,HPA036352;
GYG2,HPA005495;HPA064686;
DCBLD2,HPA016909;
SERPINB3,CAB018772;CAB036006;CAB036007;HPA048341;HPA049988;HPA055992;
SOAT1,CAB009533;HPA047171;
PKP2,HPA014314;CAB037336;HPA056908;
GDI2,HPA049290;HPA057668;
ATG5,CAB034432;CAB037309;HPA042973;
TMCC3,HPA014272;
PITHD1,HPA016936;
MTA3,HPA039433;
USP13,HPA004827;
ATP11B,HPA036237;HPA036238;
CDK14,HPA015267;
RASGRF1,CAB010413;HPA041965;
CAMK2B,CAB006849;HPA026307;HPA051783;HPA051785;HPA053973;
CROCC,HPA021191;HPA021762;
POLR3E,HPA041419;HPA041477;
ATP2B4,CAB016118;HPA040431;
ZC3H11A,HPA026439;HPA028490;HPA028526;
RIOK2,HPA005681;
YIPF1,HPA014716;HPA073931;
DGKG,HPA036577;
FLYWCH1,HPA040753;HPA041001;
UNKL,HPA055801;HPA073949;
TBXAS1,HPA031257;HPA031258;HPA031259;
PARP12,HPA003584;HPA063872;
ALDH18A1,HPA008333;HPA012604;
TARBP1,CAB020810;HPA024632;
GATB,HPA042610;
MXD1,HPA001599;
CDK17,HPA015325;
SLC2A3,CAB002763;HPA006539;
PSD,HPA059237;
CTDP1,CAB032641;HPA040394;HPA070389;
YBX3,HPA034838;
STYK1,HPA040468;HPA048569;
WNK1,HPA046541;HPA059157;
OGFR,HPA017899;
GNA15,HPA043113;
PTPRU,CAB011476;HPA039832;
SNRNP40,HPA026527;HPA027345;
QSER1,HPA005682;
MPC1,HPA045119;HPA055790;
ACAA1,HPA006764;HPA007244;
BCAT1,HPA048592;
LZTS1,HPA006294;HPA022046;
PRDM6,HPA030324;
WNT8A,HPA038539;
SPAG4,HPA048393;HPA061789;
NCKAP1,HPA020449;
MRPS35,HPA038513;
GUCY1B1,CAB010890;HPA020870;
SFSWAP,HPA039362;HPA040063;
MON2,HPA038697;HPA057607;
CDH3,HPA001767;CAB002487;
CS,HPA038460;HPA038461;CAB075750;CAB075751;CAB075752;CAB075753;CAB075754;
ELMO2,HPA018811;
WAPL,HPA037874;HPA037875;HPA066141;
VMP1,HPA030773;HPA064780;
POLD1,CAB004375;HPA046524;
SEZ6,HPA011777;
EIF4B,HPA039072;HPA046164;
BICRA,HPA056211;
RPL18,HPA046572;
ISOC2,HPA043142;
U2AF2,CAB010910;HPA041943;HPA043562;
EPN1,CAB009729;HPA061136;HPA071503;
GSC2,HPA043011;
MTMR1,HPA002977;HPA018502;
GPC1,HPA030571;HPA070449;
ADCK1,HPA051012;HPA055014;
HAGH,HPA043041;HPA061143;
RNF4,HPA022047;HPA049356;
LIMCH1,HPA004184;HPA063840;
INTS13,HPA039543;HPA040109;HPA073020;
TSPAN32,HPA024135;
WISP2,CAB019273;
ST3GAL6,HPA018792;
ATP2C2,HPA052262;HPA075812;
NGFR,CAB000143;CAB001995;HPA004765;
CDON,CAB012422;HPA017377;
HIPK2,HPA007611;
TNPO3,HPA039555;HPA041537;
RFXANK,HPA049157;HPA053330;
TMEM161A,HPA043365;
LPAR2,HPA019616;
CTSA,CAB024930;HPA031068;HPA072487;
SUGP2,HPA041557;HPA061111;
SNX24,HPA044566;HPA073934;
EYA2,HPA027024;HPA059291;
CNN2,HPA049095;
BTBD1,HPA024263;HPA067671;
FAR2,HPA015884;
BCAS1,CAB033558;HPA051816;HPA054745;
POU1F1,HPA041646;HPA050624;
SBNO2,HPA041867;
HMG20B,HPA050220;HPA053157;HPA069832;
CALCRL,HPA008070;HPA046515;
ANKS1A,HPA036768;HPA036769;
ZNF76,HPA030090;HPA030091;
SLC9A3R2,HPA001672;HPA066520;
NTHL1,CAB025152;
UHRF1BP1,HPA032099;HPA032100;
GNAI3,CAB022099;HPA042141;
OAT,CAB033576;HPA040098;HPA064742;
PKN2,HPA034861;HPA057913;
WDR18,HPA050193;HPA050200;
TRAM2,HPA035092;HPA057925;
MCM10,HPA045899;HPA071952;
ERBB3,CAB025331;HPA045396;
ANKRD44,HPA030122;HPA056549;
KARS,HPA041345;HPA041550;
ADAT1,HPA040713;HPA040903;
PDIA5,HPA030353;HPA030355;
TBC1D22B,HPA027908;HPA027909;HPA027910;
NDUFB4,HPA051739;HPA064441;
SPEN,HPA015825;HPA050257;
MYLK,CAB020789;HPA031677;HPA048055;
ZC3H15,HPA031099;HPA031100;HPA031101;
MAP2K4,CAB007751;HPA060074;
TMEM206,HPA008540;
SNAP91,CAB009745;HPA029632;HPA029633;
SLK,HPA015757;
CYB5R4,HPA018992;
COL17A1,HPA043673;HPA052963;
GSTO2,HPA048141;
TLE2,HPA049103;
ASB1,HPA003508;
ME1,HPA006493;
TBC1D1,HPA041816;HPA058158;
CDK13,HPA059241;
MTHFD2,CAB003684;HPA049657;
SLC9A7,HPA048938;HPA075385;
FOXJ2,HPA008723;
YBX1,CAB005875;HPA040304;HPA057159;
PDE4A,CAB017632;HPA043310;HPA076091;
CTNNA2,CAB037175;
ELAVL1,CAB005256;HPA046298;
SMARCD1,HPA004101;
KDM4A,HPA007610;
SLC9A3,HPA036493;HPA036669;
NGEF,HPA008160;
SPI1,CAB004079;HPA044653;
CLDN18,CAB013010;CAB013243;HPA018446;
ZBTB11,HPA015328;HPA024138;
ATXN3,CAB021976;HPA024123;HPA069338;
GOLGA5,HPA000992;HPA063876;
FGFR2,CAB010886;HPA035305;
LRRC40,HPA026564;
EML1,CAB033137;HPA049105;
THUMPD1,HPA027851;
KIF26A,HPA046882;HPA060346;
ARFGEF1,HPA023399;HPA023822;
ACSM2B,HPA057699;
ZFAT,HPA020989;HPA063592;
MTFR1,HPA023152;HPA056120;
FECH,HPA044100;HPA048177;
MYO9A,HPA039812;HPA040071;
DDX3Y,HPA001648;HPA005631;HPA059583;
PFKP,HPA018257;HPA056484;
IDI1,HPA039169;
SP100,HPA016707;HPA017384;
KLF6,CAB013529;HPA069585;
PLPP1,CAB033331;HPA047815;
NEO1,CAB009320;HPA027804;HPA027805;HPA027806;
TRAM1,HPA023929;
PHKA1,HPA001081;HPA075355;
EVI5,HPA027339;
STOML1,HPA042353;
PKM,CAB019421;HPA029501;
DNTTIP2,HPA044502;HPA053707;
METTL22,HPA040803;HPA059882;HPA074173;
TP53BP1,CAB004083;HPA008788;HPA022133;
RRP15,HPA024639;
RHOA,CAB005052;
DHX8,HPA049285;
ZFY,HPA001748;HPA071863;
IARS2,HPA024212;HPA024594;HPA024596;
SYT1,HPA008394;HPA064788;
IDH3G,HPA000425;HPA002017;
ROGDI,HPA041000;
PDZD4,HPA003878;
ATP2B3,HPA001583;
ROCK1,CAB004562;HPA007567;HPA045639;
CBFB,HPA038852;
PDK3,HPA046583;HPA072492;
HYAL2,HPA036436;
RASSF1,HPA040735;
FGFR3,CAB004231;HPA067204;
COASY,HPA022875;HPA022912;HPA023273;
PLEKHH3,HPA046234;
MEF2A,CAB004499;HPA046597;
OTUD5,HPA017375;
TFE3,HPA023881;
TBC1D25,HPA029197;
INPP5A,HPA012285;
GRIPAP1,HPA000282;HPA000615;
FTSJ1,HPA002718;
PRR11,HPA023923;HPA052376;
REEP1,HPA058061;
ATP11A,HPA035583;HPA035584;
POLR1A,CAB010145;HPA031513;HPA049700;
LAPTM4A,HPA031402;HPA031404;HPA068554;
TTC7A,HPA036781;HPA036782;
