TSPAN6,HPA004109;
C8G,HPA046269;
GCNT4,HPA037431;
FIBIN,HPA040120;
FAM89B,HPA046895;
TRIM60,HPA035809;HPA035810;HPA061496;
SEC24C,HPA040196;HPA040213;
FMR1NB,HPA011284;CAB026403;
DEAF1,HPA030302;
MTX3,HPA047858;HPA062061;
TMEM80,HPA059592;HPA067046;
SIX5,HPA042068;
FBXO46,HPA049390;
ZDHHC13,HPA016759;HPA018791;
SLC38A9,HPA043785;HPA061702;
WDR73,HPA039357;
SCN4B,HPA017293;
DSCAML1,HPA035230;
RHOG,HPA039871;
ANO6,HPA038958;
ZBTB34,HPA023893;
FAM9B,HPA035135;
FAM210A,HPA014324;HPA051564;
RIMKLA,HPA027826;
RPS6KA3,HPA003221;CAB003853;CAB013520;
B3GNT8,HPA043669;
PUS1,HPA051636;HPA057593;
SPACA4,HPA041927;HPA061302;
GATD1,HPA008812;
KCNA3,HPA016625;
FZD8,HPA045025;HPA071142;
GJD4,HPA038266;
TOP3A,CAB002449;
BEND2,HPA009420;HPA013142;
CCDC71,HPA047547;
LRRN4CL,HPA050317;
TIMM22,HPA045138;
HIC1,HPA043372;
PPFIA3,HPA043567;HPA050340;
MAGEF1,HPA046899;HPA054190;
UMODL1,HPA067245;
SAMD9L,HPA019461;HPA019465;HPA019488;
MIEF2,HPA042334;
NIM1K,HPA007695;
CD19,CAB016110;
GPR4,HPA014278;
OLIG3,HPA018303;CAB024865;
CAVIN1,HPA049838;HPA074213;
VCX2,HPA044642;HPA044996;HPA049357;
ST8SIA3,HPA063398;HPA066783;
OR2B11,HPA047459;
SLC25A22,HPA014662;
RABEP2,HPA047641;
NHLH2,HPA055238;
TBL1XR1,HPA019182;
SAMD12,HPA024634;
CD163,CAB002432;HPA046404;HPA051974;
C18orf32,HPA040921;
RPLP2,HPA053635;
HASPIN,HPA027422;HPA030698;
JUN,CAB003801;CAB007780;HPA031174;HPA059474;
GBA,HPA006667;CAB037171;CAB037289;
ACAD9,HPA037716;HPA046720;
IL17RA,CAB024996;
TEX44,HPA049917;HPA056433;
AGTRAP,HPA044120;
CD163L1,HPA015663;
SUMO4,HPA042123;HPA048064;
MAGEB10,HPA000611;
DNAJC28,HPA018003;HPA030076;
NAALADL2,HPA012413;HPA017425;CAB025586;
CD151,CAB002428;HPA011906;
NECTIN3,CAB009869;HPA011038;
ANXA2R,HPA051482;
FLII,HPA007084;HPA008903;CAB016132;
HNRNPA0,HPA036569;HPA059404;
YIPF7,HPA030642;
MYOZ1,HPA037848;HPA038437;
TMEM78,HPA042351;
CHID1,HPA039374;
PCDHB9,HPA013445;
ZNF620,HPA031452;HPA059383;
TMEM187,HPA038134;
SVBP,HPA008507;
ZNF619,HPA045094;
CCDC184,HPA039947;HPA041715;
AP3S1,HPA049270;
UBE2N,HPA044976;
ARL6IP6,HPA014743;
ZNF354C,HPA030904;HPA068570;
CAPZA3,HPA038688;
CENPBD1,HPA052759;HPA060522;
BET1L,HPA039819;
ASB8,HPA003299;
LCN15,HPA060584;
C2orf73,HPA055221;HPA059596;
GPR150,HPA026635;
TSPYL6,HPA034699;HPA034700;
LRRC75B,HPA002540;
DMAP1,HPA028419;CAB033018;
ADAMTSL1,HPA057437;HPA074973;
CALHM5,HPA034969;HPA034970;
IMPDH2,HPA001400;CAB020717;
ALS2CL,CAB046465;HPA048301;
PRSS42,HPA046925;
NDUFAF3,HPA035376;HPA035377;
C2orf69,HPA045225;
GRAMD1C,HPA012316;
STAP2,HPA002375;HPA027761;
BOLA1,HPA007005;
DDX10,HPA004691;
PPP1R42,HPA024313;HPA027983;HPA028628;
NDUFV2,HPA003404;HPA077896;
DALRD3,HPA036862;
ZNF114,HPA025019;HPA029553;
ZNF518B,HPA031215;HPA031216;
AMER3,HPA045593;HPA054230;
SPINK6,HPA011039;
ZNF366,HPA023128;HPA023526;
LCORL,HPA028794;HPA028795;HPA060033;
PARD6G,HPA047017;
ZNF454,HPA024556;
ZC3H12D,HPA036897;
KDELC2,HPA039315;HPA039817;HPA066134;
PLEC,CAB003847;HPA025967;HPA029906;
SH2D4B,HPA040022;
RNF212,HPA057527;
PRSS36,HPA036079;
TMEM151B,HPA055167;
GALNT11,HPA039330;
WDR6,HPA042622;
GEN1,HPA020078;HPA021141;
TMPRSS9,HPA051483;
TMEM11,HPA051795;HPA062854;
ZNF354B,HPA029056;
OR2D3,HPA052551;
CALML3,CAB010070;HPA044999;
CALML5,HPA040725;
PLEKHM3,HPA035046;
HTR1A,HPA018073;
NEUROG2,CAB012342;
CEP295NL,HPA023609;HPA024619;HPA025717;
BEND3,HPA017891;HPA062067;
NT5DC1,HPA030352;
COX14,HPA044618;HPA062014;
TUBAL3,HPA045900;HPA063394;
P4HTM,HPA007199;
UCN3,HPA038281;
DTX3,HPA059654;
KLHL11,HPA023021;HPA052403;HPA054269;
SLC25A20,HPA016862;HPA029863;
CA8,HPA024748;CAB025545;CAB047309;
ERBB4,CAB000276;HPA012016;CAB025522;
OR6B3,HPA047529;
PSAPL1,HPA038013;HPA038482;
GTPBP6,HPA013336;CAB034924;HPA035467;HPA055418;
C10orf53,HPA037951;
ZNF713,HPA059425;HPA062887;
DYNAP,HPA011148;
DHFR2,HPA051465;
RPP25,HPA046900;
GRINA,HPA036980;HPA036981;
THBD,CAB002425;HPA002982;
LMO7DN,HPA052013;
COX5A,HPA027526;
STX19,HPA030604;
FAM219B,HPA048929;HPA058064;
ZHX2,HPA006769;HPA006996;
CPN2,HPA004732;
CPNE7,HPA043359;
MPI,HPA007200;
TRIM73,HPA047843;HPA051845;
OPLAH,HPA026562;HPA028260;HPA052429;
TMEM139,HPA036982;HPA036983;
RNF186,HPA034547;HPA035558;
EFCAB13,CAB002501;HPA021633;HPA023249;HPA026561;
EXOSC4,HPA024792;HPA065103;
DPY19L3,HPA008325;
TAF7,HPA006429;
ZNF852,HPA048312;HPA049885;HPA071850;
C17orf62,HPA045696;
TPRX1,HPA044922;
LGALS7B,HPA001549;CAB025100;
ZNF552,HPA043800;HPA053762;HPA072145;
GAK,HPA027405;HPA027459;HPA027463;
ZBTB7A,CAB037214;CAB037285;HPA046387;
TUFM,HPA018991;HPA024087;CAB075730;CAB075731;CAB075732;
ERICH3,HPA028655;HPA072916;
FBXO34,HPA052592;
SNX18,HPA037800;
AURKB,CAB005862;HPA037708;
C14orf39,HPA059518;
C3orf38,HPA034736;HPA034737;
KLHDC7A,HPA056616;
RRS1,HPA055549;HPA060937;
EXOC3L1,HPA029574;
TRIML2,HPA043838;
OR13D1,HPA055921;
IGSF22,CAB026459;HPA037851;
C9orf50,HPA026743;
ZFP42,CAB025557;
DPM3,HPA014667;
CYC1,HPA001247;
HTR1F,HPA005555;
TMTC2,HPA026954;HPA026955;
SPTY2D1,HPA039372;HPA040177;HPA047957;
C10orf67,HPA038131;
SAMD4B,HPA016800;HPA059385;
CYP11B2,HPA049171;HPA056348;HPA057752;
EDC3,HPA040650;HPA044206;HPA066137;
CALR,CAB001513;HPA002242;CAB019952;CAB079775;
GVQW3,HPA057405;
LDLRAD3,HPA038251;
SMCO3,HPA040574;HPA047804;
RAD23A,HPA026418;HPA053901;HPA057003;HPA065599;
GADD45GIP1,HPA055205;HPA065048;HPA071910;
DAND5,HPA043493;HPA049472;
TMEM151A,HPA041035;
PTPN11,CAB005377;
NSUN7,HPA020653;
RTL3,HPA051991;HPA053174;HPA075136;
FAM156B,HPA056640;HPA056643;
WSCD1,HPA015919;
RAB39A,HPA042505;
CLK3,HPA046817;
HLA-DQB1,HPA013667;
ARID3B,HPA050320;
ELMOD2,HPA047600;
EGR3,HPA006206;CAB009373;
GPC5,HPA040152;HPA044081;
FJX1,HPA059220;
MKRN3,HPA029494;
SHARPIN,HPA024825;HPA044453;
LBX2,HPA044257;
DNHD1,HPA039698;HPA040267;HPA057639;
GCC1,HPA019369;HPA021323;
ZFPM1,HPA046603;
PLD6,HPA049345;
GRM8,HPA051481;
RPRML,HPA062668;
WDR97,HPA059409;
NLRP8,HPA056989;
SYCN,HPA047654;
FOXS1,HPA042475;
ATOH7,HPA027008;
CDH5,CAB028366;HPA075875;
LRRC3B,HPA015568;
FAM216B,HPA040118;
AKAP5,CAB004308;HPA053891;
NKPD1,HPA043339;
CITED4,HPA056434;
NLRP11,HPA046402;HPA078027;
C1orf194,HPA031144;HPA049684;
R3HDM2,HPA038327;HPA038328;
B3GNT3,HPA024298;
ITLN1,CAB012652;HPA063275;HPA067326;
SEPHS2,HPA047931;
OR10A7,HPA055111;
GPBAR1,HPA062890;
ZNF784,HPA059676;
ZNF648,HPA053897;
C14orf119,HPA003638;
PUF60,HPA045733;HPA052096;HPA059714;
DCTPP1,HPA002832;
ZNF771,HPA030730;HPA046672;HPA059398;
TSHZ1,HPA006982;
PSTK,HPA037780;HPA037781;
SOCS4,CAB013478;HPA057961;
ZADH2,HPA021468;HPA053646;
ZNF48,HPA023806;
C3orf80,HPA047439;
ANKRD18A,HPA046346;HPA046695;HPA049923;HPA051288;
TMEM86B,HPA057689;
SEPT1,HPA041566;HPA060339;HPA073635;
TRNAU1AP,HPA032068;HPA032069;
TH,CAB002522;HPA013768;HPA014010;HPA061003;CAB072340;
FAHD1,CAB025530;HPA043226;HPA043534;
TDRP,HPA008462;
RCC1,CAB015413;HPA027573;HPA027574;
MYLPF,HPA039262;HPA055059;
F2,CAB016780;HPA051476;HPA054698;
PRKRA,CAB004648;HPA034996;HPA034997;
SLC9A4,HPA036096;
ZNF816,HPA042466;
FGD6,HPA007974;
GPR139,HPA046596;
OAZ2,HPA047694;
ALX1,HPA001598;HPA018905;
CCDC43,HPA023078;HPA023391;
KCTD4,HPA040734;
FZD2,HPA057667;
TIGD2,HPA054844;HPA071168;
CCDC129,HPA024103;
HCLS1,HPA019143;
PAK2,CAB007794;
MCFD2,CAB022410;HPA034593;
SERTM1,HPA054814;HPA070485;
GAS1,CAB024164;HPA036085;HPA066902;
ARHGAP45,HPA019816;HPA079252;
OR10Q1,HPA046968;
DEFB119,HPA043059;
MIGA1,HPA017589;
PRR26,HPA066037;
NRIP1,HPA029785;HPA046571;HPA060036;
BHLHA15,CAB034083;HPA047834;
RNF182,HPA012309;
HIST1H2AC,HPA041189;
SKIDA1,HPA039208;HPA040439;
HIST1H2BC,HPA042205;HPA043013;HPA048671;
MB21D2,HPA044026;
SSTR2,HPA007264;
PCGF5,HPA038349;HPA059071;
PRF1,CAB002436;HPA037940;
OR2A4,HPA058272;
TMEM64,CAB034221;
OR10K2,HPA059125;
SHISA2,HPA049752;HPA050172;
CLRN3,HPA014482;
GPR157,HPA028697;
SLC36A4,HPA017887;
ANKRD30B,HPA060455;HPA071849;
OR51E1,CAB019995;HPA051439;
ZFP3,HPA053085;HPA057290;
ARSJ,HPA036481;HPA036482;
HOXC10,HPA053919;
BHLHE22,HPA064128;HPA064872;HPA067500;
ZNF443,HPA003150;HPA018683;
C11orf42,HPA063404;
SSR4,HPA045209;
CAPS2,HPA039542;HPA040004;
ZNF792,HPA035157;HPA035158;
SCRIB,CAB015463;CAB022081;HPA023557;HPA064312;
D2HGDH,HPA056216;HPA060548;
FAM83H,HPA024505;HPA024604;
ZNF572,HPA066838;
PITPNB,HPA000528;
LRRC57,HPA040894;
MRPL14,HPA038769;HPA076790;
GPR137C,HPA003640;HPA030763;
OR52N1,HPA054028;
BBS12,HPA061856;
ZFP82,HPA051669;HPA060470;
C17orf47,HPA028424;
LSMEM1,HPA013753;HPA047988;
OR56B1,HPA045043;
FKRP,HPA043115;HPA060454;
TRAPPC5,HPA042221;HPA049064;
RPH3AL,HPA024311;
SLC25A42,HPA049449;
CHRM2,CAB022338;HPA029795;
ADIPOQ,CAB046467;HPA051767;
F2R,CAB008973;CAB012962;
ZNF707,HPA044991;
NPM1,HPA011384;CAB012983;
PJA1,HPA000595;
DHTKD1,HPA037949;HPA037950;HPA066098;
HIST3H2A,HPA041189;
ZNF746,HPA020272;
SLC25A41,HPA043591;
FRAT2,HPA049763;
TMEM102,HPA024433;
ZNF322,HPA043161;HPA046692;
NME9,CAB020943;HPA040000;HPA043881;
HEPHL1,HPA031517;
LRRC75A,HPA028528;HPA065840;
CFAP65,HPA055156;HPA063406;
DDX60L,HPA043211;HPA055501;
SYNE4,HPA060253;
OGFOD3,HPA052099;
WASHC1,HPA002689;
AATK,HPA009073;
DDN,HPA060952;
SAGE1,HPA003033;HPA003208;
ZNF467,HPA042907;
TMEM45A,HPA062101;
ZBTB2,HPA023136;HPA023137;HPA023458;HPA023487;
OR6T1,HPA060893;
ACBD4,HPA051772;
SGSH,HPA023436;HPA023451;
FANCB,HPA003124;
SETD2,HPA042451;
EDDM3A,HPA049952;
C6orf223,HPA035765;HPA046117;
TMIE,HPA038298;
MEX3D,HPA065385;
OR52D1,HPA046965;
MRPS23,HPA023453;
FDCSP,HPA014326;CAB014890;
GPR135,HPA045337;
SLX1B,HPA047038;
ZFP41,HPA047232;HPA056268;
HKR1,HPA036126;HPA044855;
OR5T1,HPA050952;
YIPF6,HPA003720;
ZBTB20,HPA015551;HPA016815;
OR2Z1,HPA048760;
C5orf30,HPA043434;
AMIGO1,HPA046152;
GPR3,CAB006254;
ODF3L2,HPA067065;HPA067973;
ACTL9,HPA019231;HPA026693;
SLC9A9,HPA058234;
RELL1,HPA013377;
RFX7,HPA035462;
RNF41,HPA016812;
SLC2A4,CAB016544;
IBA57,HPA030555;HPA030556;HPA030557;
CLDN7,CAB013063;HPA014703;HPA073662;
ZNF329,HPA044373;HPA077958;
ZNF101,HPA023449;HPA055486;
C5orf24,HPA057749;HPA062502;
COA4,HPA040126;
OR4P4,HPA059458;
GINS3,HPA041216;HPA048209;
OR4C15,HPA061939;
CCDC149,HPA044158;HPA047913;
RTKN2,HPA037946;HPA038446;
PNMA8A,HPA012956;HPA077702;
CHST15,HPA017584;
ADIG,HPA041124;
USH1G,HPA024360;
IDH2,HPA007831;
OR6B2,HPA047529;
WRB,HPA018527;
FAM181B,HPA066861;
TMEM30B,HPA043162;
NOP10,HPA059198;
KCNIP1,HPA022864;HPA066717;
TDRKH,HPA016419;HPA019625;
ERCC6L2,HPA021260;HPA022422;
MRPL41,HPA024550;HPA027160;
ENPP7,HPA024603;
CREB3L2,HPA015068;HPA015534;
MRGPRG,HPA058909;
TSEN54,HPA024543;HPA053097;
UBA7,CAB015444;HPA058182;
SHISAL2A,HPA030744;
RAD51B,CAB016191;HPA051869;
LDOC1,HPA051768;HPA061842;
ARL6IP4,HPA052098;
EXT1,HPA044394;
MOB2,HPA046313;
ATP6AP2,HPA003156;
CYB5D1,HPA021632;
FAM153B,HPA042585;HPA044022;HPA046691;HPA052337;HPA055498;
BACE2,HPA035416;
UBE2E2,HPA003303;HPA028872;HPA030445;CAB073417;
SYNM,CAB017192;HPA040066;HPA044200;HPA077856;
KCNA4,CAB001977;HPA016422;
NLRP10,HPA039498;HPA040101;
FIGN,HPA034987;HPA057919;
IZUMO1,HPA038104;
B4GALNT4,HPA043276;HPA053126;
AP1S2,HPA049894;HPA060945;
C8orf33,HPA024812;HPA026104;
ZSCAN22,HPA006471;
C1S,CAB016722;HPA018852;
GLTPD2,HPA058295;HPA065267;
PRAMEF8,HPA049887;HPA051704;
LIPF,HPA045930;
OR5P3,HPA060787;
DAOA,HPA053114;
ZNF804B,HPA026702;
KBTBD3,HPA047385;
YBEY,HPA016593;HPA018162;
PLCXD1,HPA007721;
CACNB4,HPA015601;
TRAPPC6B,HPA047928;
PGBD4,HPA040896;HPA059823;
OTOL1,HPA041030;
TEX19,HPA054577;
TSHZ2,HPA038123;
EXOC7,HPA022840;HPA022842;
KPNA2,CAB015460;HPA041270;
BGN,HPA003157;CAB003678;
CEP97,HPA002980;
LHFPL1,HPA003029;
GLRX5,HPA042465;HPA063716;
TBPL2,HPA056241;
CAV3,CAB017518;CAB018557;HPA054488;
MXRA7,HPA044819;HPA075316;
LIMK2,HPA008183;CAB019313;HPA053882;
MFSD5,HPA039773;
RNASE10,HPA052593;
ADI1,HPA035403;HPA035404;
SPNS3,HPA023928;
CLEC4G,CAB003789;HPA014044;
SATB1,HPA051769;CAB056144;HPA070534;
CSF1R,CAB008970;HPA012323;
VCX,HPA044996;HPA049357;
TRAK1,HPA005853;HPA011367;
OR2V2,HPA049953;
PLCB1,CAB004275;CAB005334;HPA034743;HPA057910;
SKA2,HPA059235;
RXFP3,HPA027833;
OR4Q3,HPA049924;
NTM,CAB024875;
TTC3,HPA016810;HPA023964;HPA036304;
PPP1R27,HPA042227;HPA048632;
GALR2,HPA044513;
IGIP,HPA041877;HPA048615;
TSKU,HPA008164;
CMC4,HPA045866;
ANXA2,CAB004311;HPA046964;HPA061798;
RGS6,HPA003067;
HOXB4,HPA057432;
SLC35D3,HPA030431;HPA067497;
PAQR7,HPA046936;
PAPPA,HPA001667;CAB016724;
NGRN,HPA041367;HPA076267;
RPS17,HPA055060;
GSTA5,HPA004342;HPA048934;HPA053817;
C1orf116,HPA011888;HPA011889;
MAGEB17,HPA003756;
CRIP2,HPA042664;
DDX28,HPA041911;HPA053585;
ACBD3,HPA015594;
C16orf72,HPA041568;HPA067492;
PLCXD3,HPA046849;
VMO1,HPA023038;
ALG12,HPA003076;HPA051665;
LCK,HPA003494;CAB003816;
RBM10,HPA034972;HPA057372;
ADGRG3,HPA040469;
GLUD2,HPA042492;HPA044839;HPA061369;
C11orf54,HPA040088;HPA040511;
CEP63,HPA058154;HPA058313;
EWSR1,CAB004230;HPA051771;HPA062953;
SPATA13,HPA040185;HPA041208;
CNOT10,HPA035614;HPA041450;
AC135068.1,HPA058889;
MTA1,CAB004508;HPA005544;
ZNF662,HPA039116;HPA040377;
ZNF320,HPA043696;HPA062474;
PYCR1,HPA047660;
MCEMP1,HPA014731;
AP2A2,CAB017514;HPA043040;
SLC8A1,CAB022694;HPA070007;
SLC25A21,HPA000662;
OTOP2,HPA024524;HPA053090;
ABAT,HPA041528;HPA041690;
SLC25A10,HPA023048;
RGPD6,HPA045704;HPA049497;HPA051675;HPA067564;
LYSMD4,HPA029152;HPA059824;
IGSF5,HPA057282;
AFMID,HPA023861;HPA026536;
FREM3,HPA041641;
NEB,HPA016601;
GPC6,HPA017671;
FAM43B,HPA050813;
CALHM3,HPA018205;
PTGDR2,HPA014259;
CEP57L1,HPA040378;
RIPPLY3,HPA055541;
ANKRD20A2,HPA043239;HPA047112;HPA047167;HPA047766;HPA051753;HPA054389;
GPR19,HPA013955;
TMEM119,HPA051870;HPA052650;
CALN1,HPA036278;HPA036708;
SMDT1,HPA032117;HPA060340;
C2CD4C,HPA055915;
GDPGP1,HPA048189;HPA059841;
CTNNA3,HPA061818;
PRR36,HPA062741;
PTTG1IP,CAB034146;HPA061827;
DDX41,HPA017911;HPA048803;
ABHD16B,HPA059272;HPA075886;
CCBE1,HPA041361;HPA041374;
PRSS40A,HPA044732;
FAM9A,HPA056076;
TMEM121B,HPA068790;
ZNF623,HPA044372;
EPHA10,HPA027497;
CCDC125,HPA041878;
BOLA2,HPA045380;HPA046696;
JRKL,HPA046184;HPA060341;
GBP6,HPA027744;
SYNDIG1L,HPA042594;HPA048487;
TMEM89,HPA053577;
C19orf71,HPA048654;
CCDC159,HPA047126;HPA054655;
NPIPA1,HPA053611;
TRIM61,HPA049109;
URAD,HPA038972;
ASB7,HPA003300;
TREX2,HPA054060;
MX2,HPA030235;
EP400,HPA016704;HPA049013;
COA5,HPA057768;
UTP11,HPA045830;
PSMG1,HPA057193;HPA070225;
PRR14L,HPA062645;
ACSM5,HPA041435;
PGPEP1L,HPA041781;
ZNRF3,HPA036702;HPA036703;
FBXL7,HPA055464;
SFXN4,HPA020872;
GKN2,HPA057765;
FAM167B,HPA029398;HPA062074;
ZNF438,HPA039843;
CCR3,CAB003795;HPA069514;
PRR32,HPA048386;
ZNF530,HPA045868;
KLHL25,HPA023450;
FAM19A1,HPA013407;
TRMT12,HPA023939;
PSG9,HPA046327;
GPR1,HPA010525;
ALYREF,CAB016281;HPA019799;HPA061282;
EFHC2,HPA034492;
NOG,HPA061318;
OR4N4,HPA057442;
LHFPL6,HPA058975;
CMTM4,HPA014704;HPA023890;
TBK1,HPA045797;HPA060211;
CBX6,HPA048653;
MACC1,HPA020081;HPA020103;HPA029476;CAB068194;
ACSM2A,HPA057699;
TBL3,HPA042562;HPA055695;
TRAIP,HPA036261;HPA036262;
CHEK2,HPA001878;CAB002030;
KCTD16,HPA044590;HPA050154;
B3GALT5,HPA054092;HPA054684;
ZNF703,HPA023930;CAB068249;
SLC35F3,HPA051327;HPA061582;
KCTD8,HPA031562;
C9orf66,HPA035652;
TUBA8,HPA043684;CAB046031;HPA063394;
ELOA3,HPA048971;HPA049178;HPA050086;HPA053158;
NPIPA5,HPA053611;
OLFML1,HPA039735;
FAM162B,HPA036112;HPA060342;
RBM12B,HPA024398;HPA053050;
CCR4,HPA031613;
BTBD9,HPA041930;
NUDT14,HPA046755;HPA058759;
ANKRD45,HPA031655;HPA031656;HPA031657;
GPR39,HPA022111;
FAM3B,HPA015885;HPA029777;CAB034131;
KIRREL1,HPA030458;
IQGAP3,HPA030142;HPA030143;
CNGA2,HPA015065;
ARSI,HPA038386;HPA038398;
UTY,HPA000568;HPA001165;
SRARP,HPA026676;
AC138969.1,HPA053611;
LRRC55,HPA014053;
PRKX,HPA015324;
SMTN,CAB001721;HPA051778;HPA058590;
COA3,HPA031966;HPA071122;
ST6GALNAC3,HPA054566;HPA055399;
PTP4A2,HPA003281;CAB011204;
ACTG1,HPA041264;HPA041271;
TMPRSS2,HPA034493;HPA035787;
OR2T10,HPA052019;
CTAG1B,CAB015453;
DIABLO,HPA001825;CAB003857;CAB016688;
VPS33B,HPA040415;
FAM120C,HPA047677;
EIF3C,CAB034045;HPA047097;HPA049495;HPA050112;
CLDN5,CAB002607;
NIPSNAP1,HPA059227;
CNTN2,HPA001397;HPA012497;
SPRR4,HPA055963;
NR2C2AP,HPA042054;HPA055653;
C1QTNF12,HPA024107;
CRELD2,HPA000603;CAB025604;
UBE2F,HPA037444;
PGP,HPA043096;HPA046739;
SNRNP35,HPA059145;HPA067031;
IRAK1,CAB004461;HPA054476;
CMSS1,HPA042820;
ACOT1,HPA043705;
OAF,HPA047412;
ALDH1A3,HPA046271;HPA064749;
HIST2H2AC,HPA041189;
HIST2H2AB,CAB011483;HPA041189;
POU6F1,HPA047021;HPA050411;
DEFB108B,HPA042588;
TM2D3,HPA054064;
TSSC4,HPA041801;HPA058763;
TACSTD2,HPA043104;HPA055067;CAB072852;
CCSER1,HPA041880;HPA054709;
S100A7A,HPA006997;
GDF3,HPA018468;
SLIT3,HPA051630;
MRGPRE,HPA046556;
HIST1H1B,CAB012241;HPA055907;HPA060331;
PKP3,CAB012993;HPA062937;
MAP7D2,HPA051508;HPA059537;
ACTRT3,HPA035817;HPA035818;
PLA2G6,HPA001171;
MAML2,HPA035223;
SS18L1,CAB011827;HPA059046;
TOP1MT,HPA001915;HPA021542;
COPB2,HPA036867;HPA058180;
NCMAP,HPA013656;
WDR27,HPA037497;HPA037498;
TXNRD2,CAB002007;HPA003323;
C1QTNF8,HPA056438;
FOXO4,HPA039560;HPA040232;
PTP4A3,HPA003281;
FOXD4L1,HPA012836;
TMEM255B,HPA043334;
PROS1,HPA007724;HPA023974;CAB032610;
GAST,CAB000038;
HDDC3,HPA040895;
BEX5,HPA059058;
ZFP1,HPA044916;HPA062910;
CEND1,HPA042527;
DUSP8,HPA020071;
SOCS3,CAB012220;HPA068569;
SPEM2,HPA023649;
SLITRK6,HPA014491;HPA014513;
PIWIL3,HPA061955;
LPAR5,HPA013170;
TMEM173,HPA038116;HPA038534;
PDE4B,HPA003005;
FAM19A3,HPA055927;
SNN,HPA011055;
KCNH7,HPA018039;
NELL2,HPA035714;HPA035715;
KRBA2,HPA022849;
SEPT9,HPA042564;HPA050627;
FOXD4L4,HPA012836;
RALYL,HPA055868;HPA059112;
HIST2H2BE,HPA042205;HPA043013;HPA048671;
OR51M1,HPA056773;
SEPT5,CAB016120;HPA029095;HPA063885;
EIF4ENIF1,HPA001619;HPA002078;
LRRC26,HPA056312;
FAM110C,HPA036144;HPA036145;
NDUFA12,HPA039903;
UBE2G2,HPA003332;
SATL1,HPA060369;
OSBP2,HPA021514;
PRR23B,HPA047473;
APOO,HPA003187;
PRR16,HPA049254;
TMED9,HPA014650;
TMEM186,HPA018226;HPA063559;
SDR42E1,HPA014388;
RBM33,HPA019232;HPA021497;HPA021768;
ARMCX2,HPA005761;
BTBD6,HPA031355;
H1FX,CAB012235;HPA040099;HPA068431;
RBM43,HPA038204;
SUMO3,CAB012180;HPA042123;HPA048064;
CLCNKB,HPA057717;
DMRTC1B,HPA046874;HPA046992;
PTRHD1,HPA019951;
ZFP90,HPA029017;
AQP12A,HPA042216;
FAM227A,HPA003077;
MUC6,CAB002165;
CHRM5,HPA013172;
TMEM121,HPA049857;
BRI3BP,HPA014957;
DGAT1,CAB032853;
RFX6,HPA037696;
ROBO2,HPA013371;
AP3M1,HPA045591;HPA048380;
F8,CAB018777;
NT5C1B,HPA056683;
CA13,HPA024689;CAB025567;
UBOX5,HPA028871;
MAFF,CAB025341;HPA055371;
LRRC14B,HPA038046;HPA038047;
SEMA4B,HPA013372;
MROH2A,HPA052107;
CIB1,CAB012991;HPA042413;HPA048825;
SLC24A3,HPA043400;HPA045497;
SGCZ,HPA017585;
EFCAB10,HPA019751;
KRT76,HPA019696;
FAF1,HPA018253;CAB072814;
MYADML2,HPA041856;HPA048476;
FAM43A,HPA048345;
HSF1,CAB004239;HPA008888;
C6orf120,HPA039626;
HIST1H2BL,HPA042205;HPA043013;HPA048671;
MFSD6L,HPA023164;
DDX51,HPA039503;
NOMO2,HPA046697;HPA061174;
AQP12B,HPA042216;
NRBP2,CAB020944;HPA029051;HPA029052;
ZNF445,HPA006678;
PGBD2,HPA029888;HPA029889;HPA029890;
PRPF39,HPA001176;
PPIL6,HPA036717;HPA058165;
UBALD2,HPA023046;
CDNF,HPA044587;
KLHL33,HPA049985;HPA056560;
GALNT17,HPA013624;HPA047986;
ZBTB37,HPA023438;
IL3RA,HPA003539;CAB018374;
CCDC137,HPA052637;HPA053914;
SFTPA2,CAB002439;HPA042638;HPA045752;HPA049368;
RGPD2,HPA049497;HPA051675;HPA067564;
ARL15,HPA044604;HPA063820;
C12orf56,HPA056986;
GAS2L1,HPA019858;
ATP6V0A2,HPA044279;
PRKN,CAB016257;HPA036012;
TEDC1,HPA039049;HPA039050;
HGS,HPA004872;HPA007728;
OR2V1,HPA049953;
MAPK11,CAB012961;HPA045069;
SP140L,HPA055864;
MRPL30,HPA047255;
SMYD3,CAB012229;HPA045821;HPA054352;
IFNLR1,HPA017319;
SH3BGR,CAB003685;HPA030690;
FAM174B,HPA015306;
FAM47A,HPA000610;
ZSWIM9,HPA061028;
KPNA7,HPA031395;
KRT6B,CAB000130;HPA045697;HPA061168;
PARPBP,HPA039677;
MUC1,CAB000036;CAB001986;HPA004179;HPA007235;HPA008855;
FAAP100,HPA023954;HPA024626;HPA026532;
IRF7,CAB017694;HPA052757;
SV2B,HPA046247;
FAM131C,HPA031046;
LMNTD2,HPA058474;HPA073912;
SPATA45,HPA049921;
TLCD2,HPA046063;
OLFML2A,HPA021180;HPA022254;
MRPL40,HPA006181;
DBX2,HPA066053;
FAM212A,HPA041879;
PDIA2,HPA051692;HPA053492;
PBX1,HPA003505;HPA003881;CAB018768;
ZFP36L1,HPA001301;
UBE2L3,HPA045609;HPA062415;
BRWD1,HPA030943;HPA030944;HPA030945;CAB034184;
SYN3,HPA034566;
ZBTB3,HPA035321;HPA035322;
LYG2,HPA039179;
MYBL1,HPA008791;
DRG1,HPA001218;
ANKFY1,HPA024513;HPA024522;HPA065849;
